Username,Review,Media,Rating,Date
Kiki,"packaging rapi dan baik, wanginya pas, tidak terlalu strong dan nyaman","https://images.tokopedia.net/img/cache/200-square/bjFkPX/2023/12/20/e8157d5e-511d-4a2a-a031-6f819414f5c4.jpg.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/bjFkPX/2023/12/20/3007dea0-fb7a-437f-a5ea-16f91f220cfa.jpg.webp?ect=4g",5,10 bulan lalu
Arif,"favorite banget asli. ternyata versi 100ml nya sangat wah botol nya. penyemprot nya sangat mantap, jempolan. aroma nya begitu pertama kali disemprot semerbak aroma nya, bold-bold di awal yang manly 🔥","https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/1/13/14d40348-ba34-4499-9cc6-8476069ee7d4.jpg.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/1/13/c867ed0b-9b98-4f9c-9fbb-218b7aff46ad.jpg.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/1/13/81be950b-43f3-45d6-a219-464db5c1b8e7.jpg.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/1/13/bf2ce579-9bab-4509-9cd2-5771567e50b2.jpg.webp?ect=4g",5,9 bulan lalu
B***s,"Enak banget wanginya, ini pembelian kedua setelah the great batavia.. dapet free testernya jugaa.. mantap mantap 🫶🏿🖤","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,8 bulan lalu
farhan,beli ini karena varian sebelumnya sold out dan penasaran. jujur dilema antara ini atau apresiasi tapi lebih memutuskan ambil ini. baunya kata orang rumah seperti perokok di tahun 90an (not in a bad way) yang gentle dan lembut,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,9 bulan lalu
J***E,"mantap sesuai ekpektasi, dah kegiatan diluar panas2an seharian tapi masih harum",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,10 bulan lalu
Pratama,"Mantaappp, order kedua disini, bamboe roencing buat pagi-siang, sumba buat sore-malam. Thank you",https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,5,8 bulan lalu
Nathalia,"my gosh, happy me! my second collection dari Project 1945.  Ini parfum lokal bagus banget, sangat affordable karna dengan harga segitu dapat 100 ml.  Kali ini, si sunset in sumba itu wanginya ada hint of vanilla, ada incense and clove.  Ini unisex, karna setelah didiemin sekitar 10 menit, gak nyereng banget wanginya.  love!",,5,Lebih dari 1 tahun lalu
Bagus,"Packaging aman pake bubblewrap. Wangi parfum sesuai ekspektasi, dapet voucher diskon 45k yang kayaknya bakal dipake buat beli varian yang sama kalo udah habis. Nais drim cing!","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
I***o,"setelah dua botol versi 1.0, dan nunggu restock beberapa kali, sekarang coba yang 2.0. packagingnya tetap mewah dan khas Indonesia, aroma yang sekarang lebih bold, lebih terasa spices nya dan tetap jadi favorit. sudah coba bamboe roentjing, batavia dan waters of maluku, baliknya ke Sunset of Sumba lagi","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,7 bulan lalu
Ismurtyanto,"akhirnya restock juga, suka aroma dan packaging nya yang khas Indonesia, seller ramah dan responsif, packing bubble wrap berlapis-lapis dan ada bonusnya lho #dariindonesiauntukdunia  sampai lupa pakai voucher diskonnya 😁","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
M***l,bau apple dan woody.. semakin lama semakin lembut ketahanan kurang lebih 6 jam..  sepertiny cocok dipakai siang hari jg.. tapi lebih suka dipakai sore ke malam.. seperti...,"https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,10 bulan lalu
Eri,"pengiriman cepat & aman.  Packagingnya bagus banget untuk ukuran produk lokal & harganya juga murah. Wanginya enak, segar, best banget. Ayo beli sebelum sold out...","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,7 bulan lalu
D***s,"Review buat versi 2.0: Aromanya masih sama dgn versi 1, tapi entah kenapa kok sepertinya lebih bold yg versi 1 ya.. Kebetulan masih ada sisa versi 1 yg decant, coba tes s...","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,10 bulan lalu
R***i,"bukan yang tipikal seger tapi ini agak unik sii, pedes di awal terus gak lama jadi soft gitu, kayaknya bakal cocok buat tempur keringetan dan spray di baju biar tetep wan...","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,2 minggu lalu
R***n,Proses cepat. Packing aman. Sesuai pesanan. Wanginya ternyata mirip hugo boss in motion dengan twist woody plus aroma jeruk yang lebih bold. Ketahanan standar. Dapat bonu...,"https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
B***s,"pertama kali beli parfum lokal dengan kemasan yg mewah banget. agak ragu utk beli, coba kemasan mininya, akhirnya paling cocok sama si sumba.","https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg, https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg",5,Lebih dari 1 tahun lalu
